Indianapolis Police Dept	IN	9,841	9,735	9,759	9,646	9,170	9,942
South Bend Police Dept	IN	805	819	769	746	744	622
Cedar Rapids Police Dept	IA	503	448	403	386	358	356
Davenport Police Dept	IA	825	794	740	868	652	604
Des Moines Police Dept	IA	1,514	1,360	1,081	1,084	1,069	1,094
City Of Overland Park Police Dept	KS	311	305	308	289	289	285
Kansas City Police Dept	KS	1,149	 	940	823	947	877
Olathe Police Dept	KS	633	613	264	216	226	191
Topeka Police Dept	KS	719	609	715	695	698	772
Wichita Police Dept	KS	3,391	3,097	3,255	3,038	2,950	2,869
Louisville Metro	KY	4,238	4,306	3,769	3,734	4,086	3,989
Lexington-Fayette County Police Department	KY	1,790	1,780	1,760	1,724	1,358	1,066
Baton Rouge Police Dept	LA	2,615	2,690	2,823	2,534	2,468	2,507
Lafayette Police Dept	LA	1,293	1,276	1,115	940	843	779
New Orleans Police Dept	LA	3,451	2,869	2,614	2,593	2,748	2,958
Shreveport Police Dept	LA	2,198	1,897	1,776	1,533	1,544	1,550
Baltimore City Police Dept	MD	10,182	10,080	9,664	9,316	8,886	8,789
Boston Police Dept	MA	6,837	6,676	6,192	5,819	5,252	5,266
Cambridge Police Dept	MA	424	414	500	476	479	431
Lowell Police Dept	MA	875	1,172	1,167	1,202	795	585
Springfield Police Dept	MA	2,068	1,898	1,939	2,093	1,581	1,606
Worcester Police Dept	MA	1,534	1,720	1,802	1,762	1,800	1,758
Ann Arbor Police Dept	MI	298	305	266	286	261	227
Detroit Police Dept	MI	19,690	17,982	18,094	16,973	15,245	15,011
Flint City Police Dept	MI	2,741	2,328	2,246	2,412	2,392	2,774
Grand Rapids Police Dept	MI	1,876	1,986	1,604	1,645	1,395	1,465
Lansing City Police Dept	MI	1,256	1,226	1,204	1,240	1,169	1,078
Sterling Heights Police Dept	MI	294	241	212	199	203	232
Warren Police Dept	MI	843	748	804	769	719	715
Minneapolis Police Dept	MN	5,580	4,779	4,242	4,064	3,722	3,872
Rochester Police Dept	MN						
St. Paul Police Dept	MN	2,327	2,199	2,137	2,112	1,885	2,101
Jackson Police Dept	MS	1,512	1,652	1,515	1,718	1,620	1,668
Independence Police Dept	MO	837	824	749	484	499	537
Kansas City Police Dept	MO	8,380	6,269	6,303	5,643	5,536	5,862
Springfield Police Dept	MO	1,051	1,068	1,197	1,328	1,306	1,596
St. Louis Police Dept	MO	7,654	7,383	7,353	6,205	5,950	5,661
Columbia Police Dept	MO	617	392	501	530	582	476
Billings Police Dept	MT	245	272	257	283	313	370
Lincoln Police Dept	NE	1,325	1,282	1,166	1,258	966	1,050
Omaha Police Dept	NE	2,578	2,648	2,363	2,274	2,309	2,485
Henderson Police Dept	NV	591	529	612	543	571	445
Las Vegas Metropolitan Police Department	NV	13,641	13,324	13,039	12,648	10,813	11,598
North Las Vegas Police Dept	NV	1,777	1,620	1,668	 	 	1,695
Reno Police Dept	NV	1,513	1,532	1,473	1,168	1,108	1,192
Manchester Police Dept	NH	336	518	537	544	618	624
Edison Twp Police Dept	NJ	225	234	264	141	142	122
Elizabeth Police Dept	NJ	939	1,124	1,288	1,392	1,315	1,007
Jersey City Police Dept	NJ	2,421	2,280	1,791	1,830	1,906	1,847
Newark Police Dept	NJ	2,415	2,660	2,597	2,885	3,243	3,220
Paterson Police Dept	NJ	1,479	1,456	1,318	1,565	1,490	1,552
Woodbridge Police Dept	NJ	234	192	139	167	127	122
Albuquerque Police Dept	NM	5,080	4,718	4,082	4,291	4,207	4,151
Amherst Town Police Dept	NY	137	141	129	119	124	88
Buffalo Police Dept	NY	3,490	3,716	3,920	3,599	3,250	3,382
New York City Police Dept	NY	50,453	48,430	46,357	48,489	51,209	52,993
Rochester Police Dept	NY	2,350	2,302	2,042	2,229	2,029	2,069
Syracuse Police Dept	NY	1,435	1,366	1,343	1,291	1,302	1,372
Yonkers Police Dept	NY	878	914	965	895	992	1,133
Cary Police Dept	NC	134	107	132	120	108	115
Charlotte-Mecklenburg Police Department	NC	 	 	5,625	4,891	4,787	5,238
Durham Police Dept	NC	 	1,815	1,591	1,614	1,707	1,710
Fayetteville Police Dept	NC	1,320	1,621	1,268	1,101	1,050	1,186
Greensboro Police Dept	NC	2,312	2,157	1,940	1,512	 	1,555
High Point Police Dept	NC	832	718	678	608	600	556
Raleigh Police Dept	NC	2,098	2,245	2,001	1,740	1,724	1,780
Wilmington Police Dept	NC	821	778	814	724	662	618
Winston-Salem Police Dept	NC	 	2,079	1,739	1,517	1,565	1,556
Fargo Police Dept	ND	242	277	307	302	384	394
Akron City Police Dept	OH	1,584	1,921	1,919	1,675	1,779	1,759
Cincinnati Police Dept	OH	3,595	4,214	3,983	3,615	3,067	2,887
Cleveland	OH	6,460	6,154	5,994	5,529	5,426	5,449
Columbus Police Dept	OH	6,302	5,854	5,375	5,472	5,185	 
Dayton	OH	1,601	1,678	1,542	1,511	1,355	1,384
Toledo Police Dept	OH	3,639	3,621	3,251	2,854	2,868	3,352
