Detroit Police Dept,MI,19690,17982,18094,16973,15245,15011, 
Flint City Police Dept,MI,2741,2328,2246,2412,2392,2774, 
Grand Rapids Police Dept,MI,1876,1986,1604,1645,1395,1465, 
Lansing City Police Dept,MI,1256,1226,1204,1240,1169,1078, 
Sterling Heights Police Dept,MI,294,241,212,199,203,232, 
Warren Police Dept,MI,843,748,804,769,719,715, 
Minneapolis Police Dept,MN,5580,4779,4242,4064,3722,3872, 
Rochester Police Dept,MN,,,,,,, 
St. Paul Police Dept,MN,2327,2199,2137,2112,1885,2101, 
Jackson Police Dept,MS,1512,1652,1515,1718,1620,1668, 
Independence Police Dept,MO,837,824,749,484,499,537, 
Kansas City Police Dept,MO,8380,6269,6303,5643,5536,5862, 
Springfield Police Dept,MO,1051,1068,1197,1328,1306,1596, 
St. Louis Police Dept,MO,7654,7383,7353,6205,5950,5661, 
Columbia Police Dept,MO,617,392,501,530,582,476, 
Billings Police Dept,MT,245,272,257,283,313,370, 
Lincoln Police Dept,NE,1325,1282,1166,1258,966,1050, 
Omaha Police Dept,NE,2578,2648,2363,2274,2309,2485, 
Henderson Police Dept,NV,591,529,612,543,571,445, 
Las Vegas Metropolitan Police Department,NV,13641,13324,13039,12648,10813,11598, 
North Las Vegas Police Dept,NV,1777,1620,1668,,,1695, 
Reno Police Dept,NV,1513,1532,1473,1168,1108,1192, 
Manchester Police Dept,NH,336,518,537,544,618,624, 
Edison Twp Police Dept,NJ,225,234,264,141,142,122, 
Elizabeth Police Dept,NJ,939,1124,1288,1392,1315,1007, 
Jersey City Police Dept,NJ,2421,2280,1791,1830,1906,1847, 
Newark Police Dept,NJ,2415,2660,2597,2885,3243,3220, 
Paterson Police Dept,NJ,1479,1456,1318,1565,1490,1552, 
Woodbridge Police Dept,NJ,234,192,139,167,127,122, 
Albuquerque Police Dept,NM,5080,4718,4082,4291,4207,4151, 
Amherst Town Police Dept,NY,137,141,129,119,124,88, 
Buffalo Police Dept,NY,3490,3716,3920,3599,3250,3382, 
New York City Police Dept,NY,50453,48430,46357,48489,51209,52993, 
Rochester Police Dept,NY,2350,2302,2042,2229,2029,2069, 
Syracuse Police Dept,NY,1435,1366,1343,1291,1302,1372, 
Yonkers Police Dept,NY,878,914,965,895,992,1133, 
Cary Police Dept,NC,134,107,132,120,108,115, 
Charlotte-Mecklenburg Police Department,NC,,,5625,4891,4787,5238, 
Durham Police Dept,NC,,1815,1591,1614,1707,1710, 
Fayetteville Police Dept,NC,1320,1621,1268,1101,1050,1186, 
Greensboro Police Dept,NC,2312,2157,1940,1512,,1555, 
High Point Police Dept,NC,832,718,678,608,600,556, 
Raleigh Police Dept,NC,2098,2245,2001,1740,1724,1780, 
Wilmington Police Dept,NC,821,778,814,724,662,618, 
Winston-Salem Police Dept,NC,,2079,1739,1517,1565,1556, 
Fargo Police Dept,ND,242,277,307,302,384,394, 
Akron City Police Dept,OH,1584,1921,1919,1675,1779,1759, 
Cincinnati Police Dept,OH,3595,4214,3983,3615,3067,2887, 
Cleveland,OH,6460,6154,5994,5529,5426,5449, 
Columbus Police Dept,OH,6302,5854,5375,5472,5185,, 
Dayton,OH,1601,1678,1542,1511,1355,1384, 
Toledo Police Dept,OH,3639,3621,3251,2854,2868,3352, 
Broken Arrow Police Dept,OK,187,190,180,143,144,155, 
Norman Police Dept,OK,177,167,162,138,191,173, 
Oklahoma City Police Dept,OK,4612,5400,5181,5304,5108,5474, 
Tulsa Police Dept,OK,4552,4922,4295,4304,3960,3949, 
Eugene Police Dept,OR,426,496,470,416,460,430, 
Gresham Police Dept,OR,470,495,382,470,416,487, 
Portland Police Dept,OR,3701,3445,3105,3051,3037,3093, 
Salem Police Dept,OR,583,575,599,497,519,564, 
Allentown City Police Dept,PA,869,805,749,732,647,653, 
Erie Police Dept,PA,543,646,472,490,431,458, 
Philadelphia Police Dept,PA,21180,20771,19163,18535,18268,17853, 
Pittsburgh,PA,3455,3358,3087,2810,2476,2347, 
Providence Police Dept,RI,978,1164,1189,1216,,1133, 
Charleston City Police Dept,SC,909,802,597,427,398,296, 
Columbia Police Dept,SC,1312,1090,1339,1302,1001,1042, 
North Charleston Police Dept,SC,1569,1377,996,872,653,737, 
Sioux Falls Police Dept,SD,387,532,456,487,440,631, 
Chattanooga Police Dept,TN,2022,1877,1789,1566,1460,1709, 
Clarksville Police Dept,TN,998,957,806,802,883,875, 
Knoxville Police Dept,TN,2066,1995,1969,1768,1691,1774, 
Memphis Police Dept,TN,13065,12939,12072,10401,10336,11507, 
Murfreesboro Police Dept,TN,691,646,697,604,654,701, 
Nashville-Davidson Metro Police Dept,TN,8513,8365,6959,6802,7239,7550, 
Abilene Police Dept,TX,661,648,658,578,428,472, 
Amarillo Police Dept,TX,1835,1473,1580,1200,1223,1278, 
Arlington Police Dept,TX,2588,2262,2330,1925,1874,1909, 
Austin Police Dept,TX,3871,3935,4024,3790,3471,3405, 
Beaumont Police Dept,TX,1073,1015,1002,900,1069,1242, 
Brownsville Police Dept,TX,880,634,454,563,500,473, 
Carrollton Police Dept,TX,237,293,250,184,206,180, 
City Of Fort Worth Police Dept,TX,4477,4627,4245,4301,4569,4525, 
City Of Waco Police Dept,TX,1139,1031,883,838,766,635, 
Corpus Christi Police Dept,TX,2367,2226,2365,2068,1987,2057, 
Dallas Police Dept,TX,13248,11420,10221,9161,8330,8380, 
Denton Police Dept,TX,365,346,307,312,311,369, 
El Paso Police Dept,TX,2574,2825,2830,2861,2858,2859, 
Frisco Police Dept,TX,92,105,108,129,122,98, 
Garland Police Dept,TX,763,773,608,492,530,540, 
Grand Prairie Police Dept,TX,608,545,524,599,591,499, 
Houston Police Dept,TX,24564,24779,25593,22491,20892,21610, 
Irving Police Dept,TX,729,722,604,529,514,507, 
Killeen Police Dept,TX,815,885,750,993,815,851, 
Laredo,TX,1281,1357,1294,1142,1120,1036, 
Lewisville Police Dept,TX,185,235,197,240,183,168, 
Lubbock Police Dept,TX,1953,2098,2079,2001,1800,1962, 
Mcallen Police Dept,TX,372,371,348,299,246,166, 
Mckinney Police Dept,TX,255,272,247,224,241,229, 
Mesquite Police Dept,TX,577,492,534,482,397,442, 
Midland Police Dept,TX,343,420,426,407,334,398, 
Odessa Police Dept,TX,529,675,787,726,748,1103, 
Pasadena Police Dept,TX,635,645,706,611,566,622, 
Plano Police Dept,TX,670,605,471,484,429,358, 
Richardson Police Dept,TX,289,270,231,194,173,171, 
Round Rock Police Dept,TX,112,128,128,116,115,141, 
San Antonio Police Dept,TX,7327,9699,7844,8434,7038,6943, 
Tyler Police Dept,TX,652,635,529,656,503,537, 
